hack-sign	.hack
choboraunyopomi-gekijou-dai-ni-maku-ai-mai-mii-mousou-catastrophe	Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe
choboraunyopomi-gekijou-dai-ni-maku-ai-mai-mii-mousou-catastrophe-special	Choboraunyopomi Gekijou Dai Ni Maku Ai Mai Mii: Mousou Catastrophe Special
choboraunyopomi-gekijou-dai-san-maku-ai-mai-mii-surgical-friends	Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends
claymore	Claymore
cinderella-girls-gekijou-kayou-cinderella-theater-2nd-season	Cinderella Girls Gekijou: Kayou Cinderella Theater 2nd Season
crayon-shin-chan-movie-22-gachinko-gyakushuu-no-robo-to-chan	Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan
cross-ange	Cross Ange: Tenshi to Ryuu no Rondo
crayon-shin-chan-movie-23-ora-no-hikkoshi-monogatari-saboten-daisuugeki	Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki
cardcaptor-sakura	Cardcaptor Sakura
choujigen-game-neptune-the-animation	Choujigen Game Neptune The Animation
choujigen-game-neptune-the-animation-ova	Choujigen Game Neptune The Animation OVA
campione	Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou
chain-chronicle-haecceitas-no-hikari	Chain Chronicle: Haecceitas no Hikari
cooking-master-boy	Chuuka Ichiban!
code-breaker	Code:Breaker
chu-feng-bee	Chu Feng: B.E.E
chaos-head	ChäoS;HEAd
crayon-shin-chan-gaiden-toys-wars	Crayon Shin-chan Gaiden: Omocha Wars
c3-special	C³ Special
code-breaker-ova	Code:Breaker OVA
detective-conan	Detective Conan
dance-in-the-vampire-bund	Dance in the Vampire Bund
dragon-ball-kai	Dragon Ball Kai
durarara-specials	Durarara!! Specials
dokidoki-precure	Dokidoki! Precure
detective-conan-movie-02	Detective Conan Movie 02: The Fourteenth Target
detective-conan-movie-03	Detective Conan Movie 03: The Last Wizard of the Century
detective-conan-movie-04	Detective Conan Movie 04: Captured in Her Eyes
detective-conan-movie-05	Detective Conan Movie 05: Countdown to Heaven
detective-conan-movie-06	Detective Conan Movie 06: The Phantom of Baker Street
dragon-ball-z	Dragon Ball Z
detective-conan-movie-07	Detective Conan Movie 07: Crossroad in the Ancient Capital
detective-conan-movie-11	Detective Conan Movie 11: Jolly Roger in the Deep Azure
detective-conan-movie-14	Detective Conan Movie 14: The Lost Ship in the Sky
dog-days-s3	Dog Days&#039;&#039;
detective-conan-movie-20	Detective Conan Movie 20: The Darkest Nightmare
durarara-x2-ketsu-dufufufu	Durarara!!x2 Ketsu: Dufufufu!!
diamond-no-ace-second-season	Diamond no Ace: Second Season
dance-with-devils	Dance with Devils
devilman-crybaby	Devilman: Crybaby
